epoch,lanes,gpu_util,gpu_power_w
1787253975,3,0,0
1787253977,3,0,0
1787253979,2,0,0
1787253981,2,0,0
1787253983,2,0,0
1787253985,2,0,0
1787253988,2,0,0
1787253990,2,0,0
1787253992,2,0,0
1787253994,2,0,0
1787253996,2,0,0
1787253998,2,0,0
1787254000,2,0,0
1787254002,2,0,0
1787254005,2,0,0
1787254007,2,0,0
1787254009,2,0,0
1787254011,2,0,0
1787254013,2,0,0
1787254015,2,0,0
1787254017,2,0,0
1787254019,2,0,0
1787254021,2,0,0
1787254023,2,0,0
1787254026,2,0,0
1787254028,1,0,0
1787254030,1,0,0
1787254032,1,0,0
1787254034,1,0,0
1787254036,1,0,0
1787254038,1,0,0
1787254040,1,0,0
1787254042,1,0,0
1787254045,1,0,0
1787254047,1,0,0
1787254049,1,0,0
1787254051,1,0,0
1787254053,1,0,0
1787254055,1,0,0
1787254057,1,0,0
1787254059,1,0,0
1787254061,1,0,0
1787254063,1,0,0
1787254066,1,0,0
1787254068,1,0,0
1787254070,1,0,0
1787254072,1,0,0
1787254074,1,0,0
1787254076,1,0,0
1787254078,1,0,0
1787254080,1,0,0
1787254082,1,0,0
1787254084,1,0,0
1787254087,1,0,0
1787254089,1,0,0
1787254091,1,0,0
1787254093,1,0,0
1787254095,1,0,0
1787254097,1,0,0
1787254099,1,0,0
1787254101,1,0,0
1787254103,1,0,0
1787254105,1,0,0
1787254108,1,0,0
1787254110,1,0,0
1787254112,1,0,0
1787254114,1,0,0
1787254116,1,0,0
1787254118,1,0,0
1787254120,1,0,0
1787254122,1,0,0
1787254124,1,0,0
1787254126,1,0,0
1787254129,1,0,0
1787254131,1,0,0
1787254133,1,0,0
1787254135,1,0,0
1787254137,1,0,0
1787254139,1,0,0
1787254141,1,0,0
1787254143,1,0,0
1787254145,1,0,0
1787254148,1,0,0
1787254150,1,0,0
1787254152,1,0,0
1787254154,1,0,0
1787254156,1,0,0
1787254158,1,0,0
1787254160,1,0,0
1787254162,1,0,0
1787254164,1,0,0
1787254166,1,0,0
1787254169,1,0,0
1787254171,1,0,0
1787254173,1,0,0
1787254175,1,0,0
1787254177,1,0,0
1787254179,1,0,0
1787254181,1,0,0
1787254183,1,0,0
1787254185,1,0,0
1787254188,1,0,0
1787254190,1,0,0
1787254192,1,0,0
1787254194,1,0,0
1787254196,1,0,0
1787254198,1,0,0
1787254200,1,0,0
1787254202,1,0,0
1787254204,1,0,0
1787254207,1,0,0
1787254209,1,0,0
1787254211,1,0,0
1787254213,1,0,0
1787254215,1,0,0
1787254217,1,0,0
1787254219,1,0,0
1787254221,1,0,0
1787254223,1,0,0
1787254225,1,0,0
1787254228,1,0,0
1787254230,1,0,0
1787254232,1,0,0
1787254234,1,0,0
1787254236,1,0,0
1787254238,1,0,0
1787254240,1,0,0
1787254242,1,0,0
1787254244,1,0,0
1787254247,1,0,0
1787254249,1,0,0
1787254251,1,0,0
1787254253,1,0,0
1787254255,1,0,0
1787254257,1,0,0
1787254259,1,0,0
1787254261,1,0,0
1787254263,1,0,0
1787254265,1,0,0
1787254268,1,0,0
1787254270,1,0,0
1787254272,1,0,0
1787254274,1,0,0
1787254276,1,0,0
1787254278,1,0,0
1787254280,1,0,0
1787254282,1,0,0
1787254284,1,0,0
1787254286,1,0,0
1787254289,1,0,0
1787254291,1,0,0
1787254293,1,0,0
1787254295,1,0,0
1787254297,1,0,0
1787254299,1,0,0
1787254301,1,0,0
1787254303,1,0,0
1787254305,1,0,0
1787254308,1,0,0
1787254310,1,0,0
1787254312,1,0,0
1787254314,1,0,0
1787254316,1,0,0
1787254318,1,0,0
1787254320,1,0,0
1787254322,1,0,0
1787254324,1,0,0
1787254326,1,0,0
1787254329,1,0,0
1787254331,1,0,0
1787254333,1,0,0
1787254335,1,0,0
1787254337,1,0,0
1787254339,1,0,0
1787254341,1,0,0
1787254343,1,0,0
1787254345,1,0,0
1787254348,1,0,0
1787254350,1,0,0
1787254352,1,0,0
1787254354,1,0,0
1787254356,1,0,0
1787254358,1,0,0
1787254360,1,0,0
1787254362,1,0,0
1787254364,1,0,0
1787254366,1,0,0
1787254369,1,0,0
1787254371,1,0,0
1787254373,1,0,0
1787254375,1,0,0
1787254377,1,0,0
1787254379,1,0,0
1787254381,1,0,0
1787254383,1,0,0
1787254385,1,0,0
1787254387,0,0,0
1787254390,0,0,0
