epoch,lanes,gpu_util,gpu_power_w
1787252924,2,4,41.08
1787252925,2,4,40.90
1787252927,2,4,40.95
1787252928,2,4,41.00
1787252929,2,3,40.88
1787252930,2,4,40.68
1787252931,2,3,40.54
1787252932,2,3,40.53
1787252933,2,4,40.35
1787252934,2,4,40.26
1787252935,2,4,40.21
1787252936,1,3,39.79
1787252937,1,3,39.58
1787252938,1,2,39.50
1787252939,1,3,39.58
1787252940,1,3,39.55
1787252941,1,3,39.39
1787252942,1,3,39.33
1787252943,1,3,39.33
1787252944,1,3,39.30
1787252945,1,2,39.38
1787252946,1,3,39.08
1787252947,1,3,39.10
1787252948,1,3,39.06
1787252949,1,3,38.48
1787252950,1,3,37.91
1787252951,1,2,37.77
1787252953,1,2,37.69
1787252954,1,3,37.79
1787252955,1,3,37.85
1787252956,1,3,37.88
1787252957,1,3,37.88
1787252958,1,3,37.95
1787252959,1,3,38.03
1787252960,1,2,37.91
1787252961,1,2,37.91
1787252962,1,2,38.06
1787252963,1,2,38.08
1787252964,1,2,38.11
1787252965,1,3,38.05
1787252966,1,3,38.11
1787252967,1,3,38.12
1787252968,1,3,38.18
1787252969,1,3,38.22
1787252970,1,3,38.27
1787252971,1,3,38.21
1787252972,1,2,38.29
1787252973,1,3,38.26
1787252974,1,2,38.35
1787252975,1,2,38.24
1787252976,1,3,38.26
1787252978,1,3,38.27
1787252979,1,3,38.35
1787252980,1,3,38.46
1787252981,1,3,38.42
1787252982,1,2,38.53
1787252983,1,2,38.60
1787252984,1,3,38.65
1787252985,1,2,38.62
1787252986,1,2,38.57
1787252987,1,2,38.52
1787252988,1,2,38.54
1787252989,1,2,38.59
1787252990,1,2,38.55
1787252991,1,2,38.57
1787252992,1,3,38.68
1787252993,1,2,38.57
1787252994,1,3,38.67
1787252995,1,2,38.66
1787252996,1,2,38.71
1787252997,1,3,38.80
1787252998,1,2,38.86
1787252999,1,2,38.86
1787253000,1,3,38.85
1787253001,1,3,38.82
1787253002,1,2,38.87
1787253004,1,3,38.85
1787253005,1,2,38.95
1787253006,1,2,39.02
1787253007,1,3,38.99
1787253008,1,2,38.96
1787253009,1,3,39.02
1787253010,1,2,39.04
1787253011,1,3,39.02
1787253012,1,2,38.99
1787253013,1,2,39.07
1787253014,1,3,39.19
1787253015,1,2,39.18
1787253016,1,2,39.14
1787253017,1,3,39.17
1787253018,1,2,39.18
1787253019,1,3,39.08
1787253020,1,3,39.15
1787253021,1,2,39.19
1787253022,1,3,39.18
1787253023,1,2,39.15
1787253024,1,3,39.16
